Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
aakash.gill.404@example.com,9000079639,Aakash,S0w,,true
abhijit.pradhan.193@example.com,9000051842,Abhijit,S0w,,false
aditya.gupta.607@example.com,9000005823,Aditya,S0w,,true
aman.singh.575@example.com,9000062735,Aman,S0w,,true
aman.srivastava.681@example.com,9000086677,Aman,S0w,,true
amruta.joshi.912@example.com,9000095297,Amruta,S0w,,true
anand.iyer.558@example.com,9000078663,Anand,S0w,,true
anand.krishnan.383@example.com,9000026141,Anand,S0w,,false
anand.murthy.370@example.com,9000070627,Anand,S0w,,false
anand.murthy.665@example.com,9000075350,Anand,S0w,,true
ananya.das.544@example.com,9000060173,Ananya,S0w,,false
aniket.bhosale.436@example.com,9000000200,Aniket,S0w,,true
aniket.chitale.830@example.com,9000021960,Aniket,S0w,,true
anjali.khanna.611@example.com,9000033023,Anjali,S0w,,true
anjali.mishra.932@example.com,9000016516,Anjali,S0w,,true
ankit.singh.143@example.com,9000004986,Ankit,S0w,,true
aravind.menon.458@example.com,9000090419,Aravind,S0w,,true
aravind.varma.244@example.com,9000093048,Aravind,S0w,,false
arjun.bansal.593@example.com,9000059587,Arjun,S0w,,false
arjun.chauhan.731@example.com,9000099360,Arjun,S0w,,false
arjun.rathore.455@example.com,9000089334,Arjun,S0w,,false
arnab.sahoo.427@example.com,9000091923,Arnab,S0w,,true
arpita.dutta.310@example.com,9000081459,Arpita,S0w,,false
bhavana.pillai.543@example.com,9000090405,Bhavana,S0w,,false
bhavin.pawar.522@example.com,9000093039,Bhavin,S0w,,true
biswajit.banerjee.281@example.com,9000037548,Biswajit,S0w,,true
chaitanya.menon.649@example.com,9000075951,Chaitanya,S0w,,true
chaitanya.varma.291@example.com,9000039806,Chaitanya,S0w,,true
chinmay.jadhav.609@example.com,9000068420,Chinmay,S0w,,true
chinmay.vora.183@example.com,9000029118,Chinmay,S0w,,true
debasish.majumdar.282@example.com,9000041992,Debasish,S0w,,false
deepa.shetty.328@example.com,9000035645,Deepa,S0w,,false
deepa.srinivasan.935@example.com,9000057698,Deepa,S0w,,true
deepa.varma.629@example.com,9000065466,Deepa,S0w,,true
devika.kulkarni.282@example.com,9000002203,Devika,S0w,,true
devika.thakkar.993@example.com,9000050456,Devika,S0w,,true
dhruv.jadhav.749@example.com,9000080993,Dhruv,S0w,,true
dhruv.jain.601@example.com,9000001097,Dhruv,S0w,,false
divakar.balakrishnan.996@example.com,9000007230,Divakar,S0w,,true
divakar.krishnan.815@example.com,9000051177,Divakar,S0w,,false
divakar.kumar.531@example.com,9000008395,Divakar,S0w,,true
divya.gupta.860@example.com,9000099951,Divya,S0w,,true
foram.gokhale.537@example.com,9000024962,Foram,S0w,,true
ganesh.pai.175@example.com,9000062028,Ganesh,S0w,,true
ganesh.raman.982@example.com,9000038258,Ganesh,S0w,,false
gauri.kulkarni.260@example.com,9000059370,Gauri,S0w,,true
gayathri.iyengar.170@example.com,9000067756,Gayathri,S0w,,true
gurpreet.arora.419@example.com,9000061550,Gurpreet,S0w,,false
gurpreet.bhatia.760@example.com,9000018402,Gurpreet,S0w,,true
harini.iyer.952@example.com,9000065581,Harini,S0w,,true
harini.menon.968@example.com,9000062164,Harini,S0w,,true
harini.natarajan.586@example.com,9000010999,Harini,S0w,,true
harini.natarajan.673@example.com,9000090099,Harini,S0w,,true
harpreet.srivastava.450@example.com,9000002855,Harpreet,S0w,,true
harpreet.verma.359@example.com,9000099280,Harpreet,S0w,,true
hetal.thakkar.238@example.com,9000044221,Hetal,S0w,,true
hetal.thakkar.276@example.com,9000016242,Hetal,S0w,,true
ishaan.chopra.656@example.com,9000035479,Ishaan,S0w,,true
ishaan.kapoor.229@example.com,9000022118,Ishaan,S0w,,false
ishaan.sharma.642@example.com,9000057685,Ishaan,S0w,,false
ishani.banerjee.463@example.com,9000063295,Ishani,S0w,,false
ishani.dutta.323@example.com,9000058487,Ishani,S0w,,false
ishita.chauhan.751@example.com,9000089414,Ishita,S0w,,true
ishita.saxena.926@example.com,9000012082,Ishita,S0w,,true
janani.naidu.668@example.com,9000000927,Janani,S0w,,true
janani.rao.737@example.com,9000078268,Janani,S0w,,false
jay.desai.462@example.com,9000081449,Jay,S0w,,false
jay.deshmukh.626@example.com,9000017732,Jay,S0w,,true
jigar.patil.555@example.com,9000086473,Jigar,S0w,,true
kabir.bansal.530@example.com,9000088043,Kabir,S0w,,true
karan.rathore.164@example.com,9000058939,Karan,S0w,,true
karan.rathore.250@example.com,9000044372,Karan,S0w,,false
karan.rathore.531@example.com,9000084219,Karan,S0w,,true
karthik.naidu.336@example.com,9000092306,Karthik,S0w,,true
karthik.rao.373@example.com,9000003743,Karthik,S0w,,true
karthik.varma.416@example.com,9000092752,Karthik,S0w,,true
kavitha.balakrishnan.557@example.com,9000030611,Kavitha,S0w,,false
kavya.sharma.408@example.com,9000098744,Kavya,S0w,,true
keerthana.rajan.493@example.com,9000081395,Keerthana,S0w,,true
ketan.chitale.720@example.com,9000073167,Ketan,S0w,,true
ketan.desai.213@example.com,9000048095,Ketan,S0w,,true
ketan.deshmukh.462@example.com,9000037726,Ketan,S0w,,true
ketan.kamat.672@example.com,9000039548,Ketan,S0w,,true
kinjal.bhosale.532@example.com,9000000966,Kinjal,S0w,,true
kinjal.gokhale.473@example.com,9000026735,Kinjal,S0w,,false
kinjal.naik.647@example.com,9000085451,Kinjal,S0w,,false
krupa.patel.889@example.com,9000082121,Krupa,S0w,,false
krupa.trivedi.844@example.com,9000006818,Krupa,S0w,,true
