Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
aniket.kulkarni.325@example.com,9000053124,Aniket,S2b,free,true
aparna.reddy.287@example.com,9000051909,Aparna,S2b,free,true
hardik.patel.249@example.com,9000033016,Hardik,S2b,free,true
harpreet.srivastava.270@example.com,9000029286,Harpreet,S2b,free,true
heena.desai.315@example.com,9000057787,Heena,S2b,free,true
madhura.apte.276@example.com,9000084712,Madhura,S2b,free,false
manish.singh.269@example.com,9000066338,Manish,S2b,free,true
mansi.kulkarni.235@example.com,9000059108,Mansi,S2b,free,true
meera.tiwari.227@example.com,9000070742,Meera,S2b,free,true
meera.tiwari.279@example.com,9000085530,Meera,S2b,free,true
naina.mishra.247@example.com,9000004119,Naina,S2b,free,true
naveen.srinivasan.244@example.com,9000043148,Naveen,S2b,free,true
prasanna.kamath.238@example.com,9000026230,Prasanna,S2b,free,false
rahul.singh.266@example.com,9000016917,Rahul,S2b,free,false
rajiv.iyer.245@example.com,9000092503,Rajiv,S2b,free,true
soumya.pradhan.248@example.com,9000086029,Soumya,S2b,free,true
srinivas.subramanian.231@example.com,9000055942,Srinivas,S2b,free,true
swathi.reddy.234@example.com,9000030073,Swathi,S2b,free,true
tarun.kohli.230@example.com,9000012152,Tarun,S2b,free,true
tarun.mehra.243@example.com,9000042641,Tarun,S2b,free,true
varsha.pai.413@example.com,9000040852,Varsha,S2b,free,true
vishnu.krishnan.236@example.com,9000064996,Vishnu,S2b,free,true
yash.bhatia.240@example.com,9000078158,Yash,S2b,free,false
yogesh.bhosale.237@example.com,9000069320,Yogesh,S2b,free,true
yogesh.trivedi.320@example.com,9000035708,Yogesh,S2b,free,true
