Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
anjali.singh.257@example.com,9000064814,Anjali,S2c,free,false
ankit.bhatia.261@example.com,9000097414,Ankit,S2c,free,true
chinmay.jain.295@example.com,9000097198,Chinmay,S2c,free,true
chinmay.pandya.302@example.com,9000016492,Chinmay,S2c,free,false
ganesh.subramanian.256@example.com,9000080091,Ganesh,S2c,free,true
kabir.sethi.259@example.com,9000038174,Kabir,S2c,free,true
karthik.rajan.291@example.com,9000026979,Karthik,S2c,free,false
meera.arora.297@example.com,9000034435,Meera,S2c,free,true
nidhi.jadhav.252@example.com,9000014016,Nidhi,S2c,free,true
nishant.vora.340@example.com,9000099444,Nishant,S2c,free,true
nithya.pillai.253@example.com,9000002729,Nithya,S2c,free,true
nitin.gill.255@example.com,9000080794,Nitin,S2c,free,true
revathi.pillai.263@example.com,9000060664,Revathi,S2c,free,true
sahil.pandey.262@example.com,9000023107,Sahil,S2c,free,true
yogesh.naik.264@example.com,9000048735,Yogesh,S2c,free,true
