Ticket External ID,Contact Email,Contact Phone,Category,Subject,Description,Created At,SLA Due,Status,Resolved At,SCORES Ref
TK-019591,,9000071438,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-16T10:23:12+05:30,2026-09-17T10:23:12+05:30,resolved,2026-09-17T09:59:25+05:30,
TK-019701,,9000000777,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-21T18:31:31+05:30,2026-09-22T18:31:31+05:30,open,,
TK-020101,,9000084666,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-15T09:06:51+05:30,2026-08-17T09:06:51+05:30,resolved,2026-08-17T06:10:03+05:30,
TK-020581,,9000011525,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-07-19T08:47:36+05:30,2026-07-20T08:47:36+05:30,resolved,2026-07-19T22:30:55+05:30,
TK-020901,,9000086960,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-07-03T15:12:49+05:30,2026-07-06T15:12:49+05:30,resolved,2026-07-06T17:22:49+05:30,
TK-020931,kunal.chitale.430@example.com,9000070111,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-04T14:29:46+05:30,2026-09-07T14:29:46+05:30,resolved,2026-09-05T22:01:29+05:30,
TK-021001,,9000076227,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-08T20:18:05+05:30,2026-09-09T20:18:05+05:30,resolved,2026-09-09T07:31:04+05:30,
TK-021171,suresh.nair.454@example.com,9000026098,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-05-29T18:08:00+05:30,2026-06-01T18:08:00+05:30,resolved,2026-06-01T01:54:52+05:30,
TK-021231,,9000044493,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-20T15:48:53+05:30,2026-08-21T15:48:53+05:30,resolved,2026-08-22T01:24:45+05:30,
TK-021611,,9000099938,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-14T09:28:50+05:30,2026-09-15T09:28:50+05:30,resolved,2026-09-14T23:41:57+05:30,
TK-022651,,9000042922,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-16T09:53:54+05:30,2026-08-17T09:53:54+05:30,resolved,2026-08-17T02:01:51+05:30,
