Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
,9000076314,Tanmoy,S1,free,true
,9000092379,Vignesh,S1,free,true
,9000023227,Prasanna,S1,free,true
,9000059183,Anjali,S1,free,true
,9000069818,Prasanna,S1,free,true
,9000055305,Srinivas,S1,free,true
,9000007689,Manish,S1,free,true
,9000049018,Deepak,S1,free,true
,9000041164,Amruta,S1,free,true
,9000073860,Kabir,S1,free,true
,9000037898,Karthik,S1,free,true
,9000011544,Anjali,S1,free,true
,9000064576,Hetal,S1,free,true
,9000058148,Vignesh,S1,free,true
,9000092018,Mehak,S1,free,true
,9000038145,Hetal,S1,free,true
,9000024457,Vignesh,S1,free,true
,9000051992,Tejas,S1,free,true
,9000092183,Sowmya,S1,free,false
,9000058071,Vidya,S1,free,true
,9000000625,Rohan,S1,free,true
,9000031228,Urvi,S1,free,true
,9000047229,Siddharth,S1,free,true
,9000050853,Sayan,S1,free,false
,9000014471,Kavitha,S1,free,false
,9000059694,Amruta,S1,free,true
,9000049192,Anjali,S1,free,true
,9000094111,Mehak,S1,free,true
,9000072713,Janani,S1,free,true
,9000095285,Moumita,S1,free,false
,9000068189,Gayathri,S1,free,true
,9000025571,Amruta,S1,free,true
,9000087039,Bhavin,S1,free,true
,9000021504,Ishaan,S1,free,true
,9000009955,Vishnu,S1,free,false
,9000018236,Gayathri,S1,free,true
,9000053830,Gauri,S1,free,true
,9000003180,Meenakshi,S1,free,true
,9000083185,Chinmay,S1,free,false
,9000060373,Meera,S1,free,true
,9000027950,Saloni,S1,free,true
,9000069631,Sneha,S1,free,true
,9000000425,Ayesha,S1,free,true
,9000034960,Arjun,S1,free,true
,9000071569,Pavithra,S1,free,true
,9000010109,Kinjal,S1,free,true
,9000008263,Rohan,S1,free,true
,9000087902,Prachi,S1,free,true
,9000099424,Anjali,S1,free,true
,9000049164,Devika,S1,free,true
,9000053395,Siddharth,S1,free,false
,9000060601,Prasanna,S1,free,true
aditya.chauhan.436@example.com,9000081235,Aditya,S1,free,true
arun.shetty.420@example.com,9000037130,Arun,S1,free,false
bhavana.nair.390@example.com,9000042361,Bhavana,S1,free,false
divya.arora.453@example.com,9000010678,Divya,S1,free,true
indrani.bose.405@example.com,9000034228,Indrani,S1,free,true
kavya.kohli.382@example.com,9000057017,Kavya,S1,free,false
mehak.gill.415@example.com,9000073764,Mehak,S1,free,true
naina.sethi.422@example.com,9000056739,Naina,S1,free,true
neha.tandon.367@example.com,9000071456,Neha,S1,free,true
parth.shah.399@example.com,9000024373,Parth,S1,free,true
payal.saxena.426@example.com,9000090260,Payal,S1,free,true
prachi.kamat.394@example.com,9000062830,Prachi,S1,free,true
prachi.patel.385@example.com,9000090601,Prachi,S1,free,true
shalini.pillai.400@example.com,9000003380,Shalini,S1,free,true
shruti.shah.417@example.com,9000077925,Shruti,S1,free,false
shruti.trivedi.396@example.com,9000069484,Shruti,S1,free,false
tanvi.gill.411@example.com,9000040495,Tanvi,S1,free,true
tanvi.kohli.370@example.com,9000000394,Tanvi,S1,free,true
