Timestamp,Email,Top Money Concern,Keyword,Source,Community Joined,Resource Sent
2026-07-11T08:01:10+05:30,aditya.chauhan.436@example.com,Saving enough every month,PLAN,community,true,Money checklist PDF
2026-05-28T21:07:41+05:30,aman.chauhan.162@example.com,Paying off loans,ALPHA,web_reveal,false,Reveal walkthrough video
2026-04-02T18:32:35+05:30,aman.sethi.278@example.com,Where to invest,ALPHA,web_reveal,false,none
2026-09-06T11:45:09+05:30,ananya.bose.151@example.com,Saving enough every month,PLAN,community,true,Reveal walkthrough video
2026-06-14T07:42:07+05:30,aniket.bhosale.319@example.com,Paying off loans,ALPHA,web_reveal,false,none
2026-07-16T10:44:04+05:30,aniket.jain.326@example.com,My children's education,PLAN,community,true,none
2026-08-28T15:59:56+05:30,ankit.saxena.139@example.com,Retiring early,PLAN,web_reveal,false,Money checklist PDF
2026-07-20T22:14:21+05:30,aparna.nair.157@example.com,Paying off loans,ALPHA,web_reveal,false,Money checklist PDF
2026-07-31T07:49:05+05:30,aparna.pai.629@example.com,My children's education,PLAN,community,true,Money checklist PDF
2026-08-12T21:16:10+05:30,aparna.shetty.242@example.com,Retiring early,ALPHA,community,true,Money checklist PDF
2026-09-17T08:24:19+05:30,aravind.iyer.308@example.com,Retiring early,PLAN,community,true,none
2026-06-28T00:16:59+05:30,aravind.srinivasan.599@example.com,My children's education,ALPHA,web_reveal,false,none
2026-06-03T20:36:34+05:30,arjun.agarwal.170@example.com,Where to invest,ALPHA,community,true,none
2026-09-17T18:40:00+05:30,arnab.patnaik.179@example.com,Retiring early,ALPHA,community,true,Reveal walkthrough video
2026-06-06T23:07:59+05:30,arun.shetty.420@example.com,My children's education,ALPHA,web_reveal,false,Money checklist PDF
2026-08-13T07:25:21+05:30,bhavana.gowda.316@example.com,Retiring early,PLAN,community,true,Reveal walkthrough video
2026-07-26T19:54:18+05:30,bhavana.nair.390@example.com,Insurance and cover,ALPHA,web_reveal,true,Reveal walkthrough video
2026-09-04T16:15:13+05:30,bhavin.sawant.356@example.com,Saving enough every month,PLAN,community,true,Money checklist PDF
2026-08-09T16:09:45+05:30,chaitanya.pillai.441@example.com,Insurance and cover,ALPHA,web_reveal,false,Reveal walkthrough video
2026-06-24T07:56:24+05:30,chinmay.mehta.289@example.com,Insurance and cover,PLAN,community,true,Money checklist PDF
2026-09-12T08:51:16+05:30,devika.kamat.532@example.com,Where to invest,PLAN,web_reveal,false,none
2026-06-06T20:28:42+05:30,divakar.iyengar.257@example.com,Paying off loans,PLAN,community,true,Money checklist PDF
2026-08-24T19:07:58+05:30,divakar.pillai.640@example.com,My children's education,ALPHA,community,true,Reveal walkthrough video
2026-09-22T14:04:04+05:30,divya.arora.453@example.com,Insurance and cover,PLAN,web_reveal,true,none
2026-07-26T19:45:31+05:30,foram.apte.206@example.com,Saving enough every month,PLAN,community,true,Money checklist PDF
2026-06-18T09:05:28+05:30,ganesh.balakrishnan.269@example.com,Where to invest,PLAN,web_reveal,false,Reveal walkthrough video
2026-08-03T21:46:06+05:30,ganesh.nair.452@example.com,Insurance and cover,PLAN,web_reveal,false,Money checklist PDF
2026-05-12T13:43:21+05:30,ganesh.rao.583@example.com,Retiring early,PLAN,web_reveal,false,Money checklist PDF
2026-06-26T18:47:54+05:30,gayathri.hegde.315@example.com,Saving enough every month,ALPHA,community,true,Reveal walkthrough video
2026-07-26T16:57:50+05:30,hardik.desai.363@example.com,Insurance and cover,PLAN,web_reveal,false,Money checklist PDF
2026-07-19T22:36:11+05:30,heena.patel.176@example.com,Insurance and cover,PLAN,community,true,none
2026-09-15T20:12:57+05:30,heena.pawar.537@example.com,My children's education,ALPHA,web_reveal,false,Reveal walkthrough video
2026-08-07T13:07:12+05:30,heena.trivedi.442@example.com,Insurance and cover,PLAN,community,true,Reveal walkthrough video
2026-09-07T17:39:24+05:30,hetal.patel.296@example.com,Insurance and cover,PLAN,web_reveal,false,Money checklist PDF
2026-04-17T18:41:09+05:30,indrani.bose.405@example.com,Retiring early,ALPHA,web_reveal,false,Money checklist PDF
2026-06-21T10:37:30+05:30,indrani.mitra.628@example.com,My children's education,PLAN,community,true,none
2026-06-08T10:51:26+05:30,indrani.mukherjee.181@example.com,Paying off loans,ALPHA,community,true,Money checklist PDF
2026-07-16T10:58:32+05:30,ishita.kohli.160@example.com,Insurance and cover,ALPHA,community,true,Money checklist PDF
2026-05-30T13:40:14+05:30,janani.kumar.288@example.com,Retiring early,PLAN,web_reveal,false,none
2026-06-25T09:18:43+05:30,janani.rao.175@example.com,Insurance and cover,PLAN,community,true,none
