Event External ID,Contact External ID,Event,Screen,At,Props
EV0000004,P00001,signed_up,A03,2025-08-24T05:52:48+05:30,"{""device"":""android"",""phone"":""9000061747"",""source"":""corporate_session"",""whatsapp_optin"":true}"
EV0000005,P00001,state_enter_S1,R01,2025-08-24T05:52:48+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000017,P00001,reveal_seen,R09,2025-08-24T16:58:21+05:30,"{""age_band"":""25 to 29"",""aspiration"":""Generosity"",""city"":""Pune"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""10 to 25 lakhs"",""journey_feel"":""Some hits and some misses, it has been mixed"",""path_now_band"":""10 to 20 Cr"",""path_yes_band"":""over 20 Cr"",""savings_band"":""Around 40%, some serious money""}"
EV0000018,P00001,state_enter_S2,X01,2025-08-24T16:58:21+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000020,P00001,paywall_viewed,P01,2025-08-24T18:56:51+05:30,"{""from_state"":""S2"",""sku_expanded"":""diy""}"
EV0000022,P00001,state_enter_S2b,P03,2025-08-24T18:57:21+05:30,"{""from_state"":""S2"",""state"":""S2b""}"
EV0000024,P00001,esign_done,P03,2025-08-24T19:02:44+05:30,"{""agreement_version"":""AGR v1 (to be verified: agreement template versions)"",""esign_ref"":""ESIGN-SEED-003518""}"
EV0000025,P00001,state_enter_S2c,P04,2025-08-24T19:02:44+05:30,"{""from_state"":""S2b"",""state"":""S2c""}"
EV0000027,P00001,paid,P05,2025-08-24T19:08:07+05:30,"{""amount"":""Rs ___"",""mandate_status"":""active"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00001"",""subscription_or_txn_id"":""sub_SEED000011""},""sku"":""diy""}"
EV0000028,P00001,state_enter_S3,O02,2025-08-24T19:08:07+05:30,"{""from_state"":""S2c"",""state"":""S3""}"
EV0000038,P00001,state_enter_S17,A10a,2025-08-27T18:30:15+05:30,"{""from_state"":""S3"",""state"":""S17""}"
EV0000043,P00001,state_enter_S3,O02,2025-08-28T07:47:20+05:30,"{""from_state"":""S17"",""state"":""S3""}"
EV0000047,P00001,state_enter_S4,O02,2025-08-28T07:54:39+05:30,"{""from_state"":""S3"",""state"":""S4""}"
EV0000050,P00001,data_progress,D12a,2025-08-28T07:56:42+05:30,"{""pct_complete"":27,""step_id"":""family""}"
EV0000061,P00001,data_progress,D12b,2025-08-28T07:58:18+05:30,"{""pct_complete"":35,""step_id"":""risk""}"
EV0000071,P00001,data_progress,D12c,2025-08-28T08:00:27+05:30,"{""pct_complete"":40,""step_id"":""income""}"
