Deal External ID,Contact External ID,Deal Name,SKU,Period,Amount,GST Type,Payment Method,Coupon,Razorpay Customer Id,Razorpay Subscription or Txn Id,Mandate Status,Start,Next Billing,Status,Grace Until,Retry Count,Calls Included Per Period,Calls Used,Cancel Reason,Refund Requested,Refund Status
DL-00001-1,P00001,"DIY monthly, Aniket Apte",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00001,sub_SEED000011,active,2025-08-24,,lapsed,,0,0,0,,false,
DL-00001-2,P00001,"DIY monthly, Aniket Apte",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00001,sub_SEED000012,active,2026-09-14,2026-10-14,active,,0,0,0,,false,
DL-00002-1,P00002,"DIWM monthly, Karthik Kumar",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00002,pay_SEED000021,none (charged per period),2025-09-08,2026-10-03,active,,0,N,0,,false,
DL-00010-1,P00010,"DIWM monthly, Anirban Dutta",diwm,monthly,Rs ___,igst,upi,,cust_SEED00010,sub_SEED000101,active,2026-04-07,2026-10-04,active,,0,N,0,,false,
DL-00012-1,P00012,"DIWM quarterly, Gauri Patel",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00012,sub_SEED000121,active,2026-04-04,,lapsed,2026-07-10,3,N,0,,false,
DL-00018-1,P00018,"DIY monthly, Simran Malhotra",diy,monthly,Rs ___,igst,upi,,cust_SEED00018,sub_SEED000181,active,2026-04-12,2026-10-09,active,,0,0,0,,false,
DL-00022-1,P00022,"DIWM monthly, Kunal Joshi",diwm,monthly,Rs ___,igst,upi,,cust_SEED00022,sub_SEED000221,active,2026-05-21,2026-10-18,active,,0,N,0,,false,
DL-00030-1,P00030,"DIWM monthly, Rutuja Shinde",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00030,sub_SEED000301,active,2026-04-18,2026-10-15,active,,0,N,0,,false,
DL-00035-1,P00035,"DIWM monthly, Sakshi Bansal",diwm,monthly,Rs ___,none,netbanking,SEEDZERO,cust_SEED00035,pay_SEED000351,none (charged per period),2026-04-30,2026-09-27,active,,0,N,0,,false,
DL-00038-1,P00038,"DIWM quarterly, Varsha Murthy",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED00038,pay_SEED000381,none (charged per period),2026-04-23,,lapsed,2026-07-29,3,N,0,,false,
DL-00042-1,P00042,"DIWM quarterly, Dhruv Desai",diwm,quarterly,Rs ___,none,upi,SEEDZERO,cust_SEED00042,sub_SEED000421,active,2026-05-18,2026-11-14,active,,0,N,0,,false,
DL-00049-1,P00049,"DIWM monthly, Chaitanya Krishnan",diwm,monthly,Rs ___,igst,upi,,cust_SEED00049,sub_SEED000491,active,2026-06-24,2026-10-22,failed,2026-09-29,0,N,0,,false,
DL-00056-1,P00056,"DIY quarterly, Pavithra Pai",diy,quarterly,Rs ___,igst,upi,,cust_SEED00056,sub_SEED000561,active,2026-05-22,2026-11-18,active,,0,0,0,,false,
DL-00060-1,P00060,"DIWM quarterly, Pranali Sawant",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED00060,sub_SEED000601,active,2026-05-10,2026-11-06,active,,0,N,0,,false,
DL-00065-1,P00065,"DIY monthly, Parth Patel",diy,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00065,pay_SEED000651,none (charged per period),2026-05-07,2026-10-04,active,,0,0,0,,false,
DL-00068-1,P00068,"DIWM monthly, Swathi Reddy",diwm,monthly,Rs ___,igst,upi,,cust_SEED00068,sub_SEED000681,active,2026-05-27,2026-09-24,active,,0,N,0,,false,
DL-00071-1,P00071,"DIY monthly, Sameer Desai",diy,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00071,pay_SEED000711,none (charged per period),2026-05-09,2026-10-06,active,,0,0,0,,false,
DL-00080-1,P00080,"DIY monthly, Deepa Hegde",diy,monthly,Rs ___,igst,upi,,cust_SEED00080,sub_SEED000801,active,2026-06-08,2026-10-06,active,,0,0,0,,false,
DL-00085-1,P00085,"DIWM quarterly, Chinmay Joshi",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED00085,sub_SEED000851,active,2026-05-23,2026-11-19,active,,0,N,1,,false,
DL-00090-1,P00090,"DIWM quarterly, Subhajit Chatterjee",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00090,sub_SEED000901,active,2026-05-18,2026-11-14,active,,0,N,0,,false,
DL-00095-1,P00095,"DIY monthly, Madhav Shetty",diy,monthly,Rs ___,igst,netbanking,,cust_SEED00095,pay_SEED000951,none (charged per period),2026-06-02,2026-09-30,active,,0,0,0,,false,
DL-00098-1,P00098,"DIY monthly, Aniket Naik",diy,monthly,Rs ___,igst,upi,,cust_SEED00098,sub_SEED000981,active,2026-07-14,2026-10-12,active,,0,0,0,,false,
DL-00156-1,P00156,"DIWM monthly, Sai Pai",diwm,monthly,Rs ___,igst,upi,,cust_SEED00156,sub_SEED001561,active,2026-06-15,,lapsed,,0,N,0,,false,
DL-00156-2,P00156,"DIWM monthly, Sai Pai",diwm,monthly,Rs ___,igst,upi,,cust_SEED00156,sub_SEED001562,active,2026-09-16,2026-10-16,active,,0,N,0,,false,
DL-00158-1,P00158,"DIY quarterly, Anjali Tandon",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED00158,pay_SEED001581,none (charged per period),2026-06-20,2026-12-17,failed,2026-09-25,2,0,0,,false,
DL-00164-1,P00164,"DIY monthly, Shruti Chitale",diy,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00164,pay_SEED001641,none (charged per period),2026-06-17,2026-10-15,active,,0,0,0,,false,
DL-00177-1,P00177,"DIWM monthly, Indrani Mitra",diwm,monthly,Rs ___,igst,upi,,cust_SEED00177,sub_SEED001771,active,2026-06-23,2026-10-21,active,,0,N,0,,false,
DL-00194-1,P00194,"DIWM quarterly, Rutuja Patil",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00194,sub_SEED001941,active,2026-06-28,2026-09-26,active,,0,N,0,,false,
DL-00199-1,P00199,"DIWM monthly, Vishnu Menon",diwm,monthly,Rs ___,igst,upi,,cust_SEED00199,sub_SEED001991,active,2026-07-01,2026-09-29,active,,0,N,0,,false,
