Lead External ID,First Name,Last Name,Phone,Email,City,Lead Source,Lead Stage,WhatsApp Opt-in,DND,Age Band,Top Concern,Keyword,Community Joined,Created Date,Is Seed Topup
P00008,Aman,Sethi,9000070164,aman.sethi.278@example.com,Gurugram,web_reveal,lead,true,false,30 to 34,Where to invest,ALPHA,false,2026-04-02,false
P00009,Nithya,Gowda,9000000514,,Mumbai,organic,lead,true,false,,,,false,2026-04-03,false
P00011,Manish,Bhatia,9000054411,,Jaipur,referral,lead,true,false,,,,false,2026-04-03,false
P00013,Keerthana,Gowda,9000015832,,Bengaluru,community,lead,true,false,,,,true,2026-04-04,false
P00017,Foram,Kamat,9000029010,,Mumbai,community,lead,true,false,,,,true,2026-04-05,false
P00020,Jasleen,Arora,9000052027,jasleen.arora.183@example.com,Gurugram,community,lead,true,false,,Where to invest,PLAN,true,2026-04-08,false
P00021,Ketan,Patel,9000063443,,Mumbai,community,lead,true,false,,,,true,2026-04-10,false
P00023,Gurpreet,Sethi,9000026151,,Delhi,referral,lead,true,false,,,,false,2026-04-11,false
P00026,Vishnu,Naidu,9000064146,,Bengaluru,community,lead,true,true,,,,true,2026-04-13,false
P00029,Jigar,Thakkar,9000072284,,Mumbai,community,lead,true,false,,,,true,2026-04-15,false
P00034,Tarun,Bansal,9000036071,,Noida,community,lead,true,false,,,,true,2026-04-18,false
P00036,Varsha,Gowda,9000092733,varsha.gowda.310@example.com,Hyderabad,community,lead,true,false,,Insurance and cover,ALPHA,true,2026-04-20,false
P00040,Prasanna,Iyengar,9000024845,,Chennai,organic,lead,true,false,,,,false,2026-04-21,false
P00044,Sanjana,Singh,9000075122,,Gurugram,referral,lead,true,false,,,,false,2026-04-23,false
P00046,Ketan,Pandya,9000078861,,Ahmedabad,community,lead,true,false,,,,true,2026-04-24,false
P00047,Yash,Sethi,9000042827,,Gurugram,corporate_session,lead,true,true,,,,false,2026-04-25,false
P00048,Divya,Rathore,9000059380,,Jaipur,community,lead,true,false,,,,true,2026-04-25,false
P00050,Anjali,Tandon,9000028270,,Delhi,organic,lead,false,false,,,,false,2026-04-25,false
P00052,Shreya,Sharma,9000033385,,Delhi,organic,lead,false,false,,,,false,2026-04-27,false
P00054,Karthik,Subramanian,9000095693,,Hyderabad,community,lead,true,false,,,,true,2026-04-28,false
P00055,Varsha,Murthy,9000088866,varsha.murthy.205@example.com,Hyderabad,community,lead,false,false,,Paying off loans,ALPHA,true,2026-04-28,false
P00057,Yogesh,Desai,9000078389,yogesh.desai.258@example.com,Ahmedabad,community,lead,true,false,,Saving enough every month,ALPHA,true,2026-04-29,false
P00059,Nidhi,Chitale,9000015989,nidhi.chitale.301@example.com,Ahmedabad,community,lead,true,false,,Insurance and cover,PLAN,true,2026-04-29,false
P00061,Varsha,Pai,9000044330,varsha.pai.334@example.com,Chennai,web_reveal,lead,true,false,30 to 34,Retiring early,PLAN,false,2026-05-01,false
P00063,Jasleen,Arora,9000058040,,Gurugram,corporate_session,lead,true,false,,,,false,2026-05-02,false
P00069,Kavitha,Rao,9000010967,,Hyderabad,corporate_session,lead,false,false,,,,false,2026-05-05,false
P00070,Aparna,Rao,9000046108,,Bengaluru,organic,lead,false,false,,,,false,2026-05-05,false
P00072,Shalini,Hegde,9000027217,shalini.hegde.228@example.com,Bengaluru,web_reveal,lead,true,false,30 to 34,My children's education,PLAN,false,2026-05-06,false
P00073,Ayesha,Sethi,9000000403,,Delhi,organic,lead,true,false,,,,false,2026-05-06,false
P00074,Anjali,Agarwal,9000057208,,Gurugram,organic,lead,true,false,,,,true,2026-05-06,false
P00076,Shruti,Kulkarni,9000027538,,Mumbai,organic,lead,false,false,,,,false,2026-05-09,false
P00077,Ruchi,Tiwari,9000060864,ruchi.tiwari.210@example.com,Gurugram,web_reveal,lead,true,false,35 to 39,Insurance and cover,PLAN,false,2026-05-11,false
P00084,Pavithra,Menon,9000032283,,Chennai,referral,lead,true,false,,,,false,2026-05-13,false
P00086,Nirav,Shah,9000088753,nirav.shah.333@example.com,Mumbai,community,lead,true,false,,Paying off loans,ALPHA,true,2026-05-16,false
P00089,Sneha,Shinde,9000012291,,Mumbai,community,lead,true,false,,,,true,2026-05-17,false
P00092,Swathi,Iyengar,9000022015,,Hyderabad,organic,lead,true,false,,,,true,2026-05-19,false
P00093,Meenakshi,Reddy,9000026692,meenakshi.reddy.325@example.com,Ahmedabad,web_reveal,lead,true,false,30 to 34,My children's education,PLAN,false,2026-05-19,false
P00094,Rituparna,Pradhan,9000041889,,Delhi,community,lead,true,false,,,,true,2026-05-19,false
P00097,Harini,Rao,9000092551,,Bengaluru,organic,lead,true,false,,,,false,2026-05-21,false
P00100,Pranav,Chauhan,9000048715,pranav.chauhan.342@example.com,Noida,web_reveal,lead,true,false,25 to 29,Insurance and cover,ALPHA,false,2026-05-21,false
P00102,Nithya,Naidu,9000030847,,Coimbatore,organic,lead,true,false,,,,false,2026-05-21,false
P00103,Naveen,Naidu,9000023898,,Chennai,corporate_session,lead,true,false,,,,false,2026-05-22,false
P00105,Yogesh,Vora,9000036047,yogesh.vora.344@example.com,Mumbai,web_reveal,lead,false,false,25 to 29,Saving enough every month,ALPHA,true,2026-05-22,false
P00106,Siddharth,Patil,9000088934,,Mumbai,organic,lead,false,false,,,,false,2026-05-23,false
P00109,Saloni,Desai,9000067722,saloni.desai.254@example.com,Ahmedabad,community,lead,true,false,,Insurance and cover,ALPHA,true,2026-05-24,false
P00110,Tarun,Kohli,9000056397,,Gurugram,community,lead,true,false,,,,true,2026-05-26,false
